id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
3019,3981299,https://github.com/tillnagel/unfolding,383,800,88412,221,3,NULL,NULL
3021,4681328,https://github.com/airlift/airlift,246,2297,28388,132,215,NULL,NULL
3022,5430985,https://github.com/devunwired/accessory-samples,333,42,4321,339,1,NULL,NULL
3023,2524488,https://github.com/apache/accumulo,386,9430,62246,206,31,NULL,NULL
3024,1480066,https://github.com/twitter/cloudhopper-smpp,354,146,2265,269,18,NULL,NULL
3025,3728381,https://github.com/grundid/nfctools,228,138,1751,79,9,NULL,NULL
3026,1807581,https://github.com/freemarker/freemarker-old,363,1406,19146,136,24,NULL,NULL
3027,16977479,https://github.com/apache/cxf,451,14144,102061,805,138,NULL,NULL
3028,1289205,https://github.com/gresrun/jesque,478,460,2077,106,26,NULL,NULL
3029,296938,https://github.com/sitemesh/sitemesh3,451,273,6188,153,4,NULL,NULL
3030,2282376,https://github.com/apache/giraph,476,1082,26644,254,12,NULL,NULL
3031,1161647,https://github.com/springtestdbunit/spring-test-dbunit,342,146,3451,196,6,NULL,NULL
3032,1857560,https://github.com/prey/prey-android-client,373,695,33448,182,52,NULL,NULL
3033,567634,https://github.com/cowtowncoder/java-uuid-generator,321,100,421,58,7,NULL,NULL
3034,4106049,https://github.com/thomasst/mongoadmin,259,22,2050,19,0,NULL,NULL
3035,2469892,https://github.com/mkarneim/pojobuilder,301,560,7166,36,26,NULL,NULL
3036,1728400,https://github.com/JodaOrg/joda-money,329,304,784,73,9,NULL,NULL
